i=10,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50
j=16,1.76,1.91,1.83,2.86,1.86,1.80,1.78,1.85,1.89,2.92,1.84,1.87,1.84,1.85,1.90,1.83,1.85,1.87,1.82,1.86,2.21,2.34,2.39,1.93,2.36,2.33,2.13,1.85,1.88,1.91,1.91,1.92,1.80,1.86,1.78,2.07,2.04,1.85,1.79,1.79,1.84,1.80,1.86,1.84,1.85,1.83,1.89,1.89,1.82,1.86
j=17,2.69,2.36,2.32,2.32,2.32,2.32,2.46,2.30,2.34,2.34,2.40,2.45,2.33,2.35,2.31,2.35,2.30,2.34,2.36,2.35,2.32,2.41,2.32,2.31,2.28,2.38,2.28,2.51,2.34,2.37,2.27,2.36,2.30,2.35,2.27,2.31,2.30,2.39,2.32,2.48,2.30,2.31,2.33,2.31,2.33,2.37,2.40,2.33,2.46,2.32
j=18,3.12,3.17,3.23,3.18,3.13,3.14,3.12,3.10,3.19,4.07,3.15,3.21,3.12,3.69,3.12,3.14,3.23,3.25,3.12,3.21,3.18,3.14,3.19,3.10,3.09,3.09,3.27,3.13,3.10,3.14,3.11,3.13,3.13,3.25,3.07,3.31,3.25,3.11,3.15,3.26,3.17,3.26,3.10,3.31,3.16,3.20,3.23,3.10,3.63,3.30

i=12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50
j=16,7.06,7.51,8.28,8.23,7.50,7.39,7.85,7.63,7.21,7.49,7.59,7.88,8.94,7.29,8.30,7.36,7.55,7.73,7.31,7.73,7.47,8.45,7.68,7.80,7.70,7.31,7.20,7.32,7.55,7.60,8.18,7.34,7.34,7.66,8.05,8.02,7.33,7.26,7.35,7.97,7.72,7.64,7.75,7.79,7.43,7.53,7.30,7.62,7.75,8.34
j=17,19.99,9.95,8.85,8.91,8.63,8.86,8.73,8.49,8.50,9.32,8.43,8.72,8.62,8.46,9.65,8.56,8.47,8.43,8.53,8.41,9.16,9.76,8.47,8.60,8.44,8.46,8.48,8.86,8.88,8.94,8.70,9.80,8.68,8.69,8.95,8.85,9.05,8.82,8.93,8.72,8.68,8.28,9.68,8.75,8.65,8.94,8.70,9.37,8.54,8.51
j=18,10.44,10.35,10.58,10.33,10.07,10.00,9.88,9.94,9.77,9.95,9.80,10.18,9.96,10.16,10.37,11.34,12.05,10.16,9.95,10.02,10.26,10.18,12.69,10.11,10.02,10.72,9.97,10.25,9.94,9.95,9.83,9.81,9.90,9.94,10.11,10.29,11.78,10.50,10.23,9.90,10.21,11.71,10.15,10.11,9.90,10.82,9.76,10.28,9.78,10.25
j=19,12.21,12.93,21.98,13.01,12.80,13.49,17.59,12.17,11.97,11.86,12.16,11.91,12.16,11.81,12.38,12.37,12.21,11.75,12.05,11.76,11.93,11.87,11.95,12.09,11.95,12.25,13.54,12.20,11.93,12.48,12.30,12.65,12.13,11.96,12.14,12.53,12.08,12.03,12.35,12.33,12.07,12.43,11.73,13.97,12.02,12.13,13.38,12.11,12.87,12.03
j=20,15.67,15.70,15.89,16.95,16.07,15.90,15.44,15.54,15.72,15.50,15.52,15.51,16.18,15.72,15.63,16.06,15.66,15.42,15.74,15.42,15.71,15.96,15.36,15.63,16.27,15.74,15.62,15.26,15.53,15.95,15.74,15.60,15.62,15.48,15.63,15.38,16.84,15.93,15.80,15.24,17.69,17.44,18.00,15.62,15.66,15.53,15.62,15.46,16.23,15.87
j=21,24.07,22.86,22.62,22.95,23.06,22.41,22.94,22.74,22.49,22.45,22.61,22.66,22.34,23.99,22.38,22.15,22.71,22.59,22.63,22.37,23.57,22.50,22.52,22.60,22.50,22.50,22.34,23.39,22.20,22.60,23.35,22.34,22.61,22.48,22.34,22.58,24.87,24.88,22.99,22.74,22.81,22.65,22.55,22.32,22.47,22.44,22.21,22.61,22.52,23.08
j=22,34.90,35.84,35.93,36.86,35.21,34.94,36.00,35.95,35.97,34.52,36.44,34.89,35.03,35.74,35.71,34.92,35.16,34.88,34.41,34.80,34.90,34.60,46.09,34.48,34.05,37.72,57.65,33.78,34.28,34.46,33.70,34.43,33.77,33.66,34.12,34.13,33.98,33.95,33.75,33.99,34.52,33.73,35.14,33.73,33.93,33.99,33.96,34.48,34.02,33.68

i=14,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50
j=16,33.84,33.76,34.46,34.51,34.09,34.00,34.08,33.94,35.65,34.39,33.76,34.20,33.56,33.75,33.84,33.66,34.33,33.24,33.85,32.95,33.22,33.00,32.63,34.56,33.02,33.51,32.41,33.04,32.37,32.45,32.77,32.53,32.69,32.68,34.69,34.27,36.54,34.20,34.34,40.42,34.80,34.33,34.02,33.90,34.08,34.89,34.88,34.00,33.83,33.98
