i=10,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50
j=16,0.53,0.56,0.54,0.57,0.54,0.53,0.54,0.55,0.57,0.66,0.57,0.61,0.59,0.51,0.54,0.54,0.58,0.54,0.55,0.60,0.64,0.71,0.57,0.55,0.61,0.83,0.50,0.53,0.56,0.54,0.84,0.58,0.53,0.54,0.54,0.65,0.58,0.62,0.53,0.56,0.57,0.51,0.54,0.55,0.52,0.57,0.60,0.53,0.54,0.55
j=17,0.97,0.89,0.81,0.87,0.79,0.83,0.82,0.84,0.79,0.82,0.81,1.05,0.83,0.80,0.84,0.78,0.84,0.80,0.80,0.82,0.80,0.88,0.83,0.83,0.81,0.81,0.78,0.81,0.83,0.85,0.85,0.87,0.83,0.84,0.82,0.84,0.82,0.91,0.89,0.80,0.77,0.83,0.83,0.85,0.82,0.81,0.83,0.85,0.85,0.80
j=18,1.30,1.30,1.26,1.40,1.33,1.28,1.30,1.28,1.38,1.54,1.29,1.32,1.31,1.44,1.27,1.31,1.26,1.30,1.30,1.26,1.36,1.28,1.35,1.33,1.29,1.27,1.25,1.26,1.24,1.27,1.30,1.41,1.28,1.34,1.30,1.30,1.27,1.29,1.44,1.30,1.32,1.28,1.29,1.34,1.31,1.44,1.28,1.29,1.39,1.31

i=12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50
j=16,1.43,1.42,1.38,1.47,1.38,1.51,1.37,1.35,1.40,1.36,1.40,1.40,1.39,1.46,1.37,1.35,1.45,1.46,1.39,1.39,1.52,1.44,1.36,1.38,1.41,1.41,1.67,1.37,1.36,1.38,1.45,1.55,1.44,1.36,1.47,1.39,1.41,1.39,1.46,1.51,1.36,1.40,1.41,1.40,1.37,1.42,1.41,1.42,1.43,1.38
j=17,2.10,1.91,1.82,1.86,1.90,1.84,1.86,1.84,1.89,1.92,1.86,1.84,1.88,1.83,1.80,1.88,1.88,1.90,1.92,1.86,1.86,2.48,1.89,1.90,1.90,1.91,2.12,1.93,1.81,1.82,1.86,1.85,1.92,1.88,2.13,1.86,1.90,1.90,1.90,1.90,1.94,1.96,1.85,1.88,1.83,1.91,1.85,1.92,2.04,1.91
j=18,2.66,2.83,2.56,2.52,2.64,2.51,2.59,2.64,2.54,2.74,2.53,2.52,2.61,2.61,2.52,2.69,2.57,2.58,2.78,2.62,2.53,2.72,2.61,2.59,2.61,2.69,2.59,2.60,2.69,2.60,2.64,2.59,2.59,2.73,2.59,2.54,2.92,2.56,2.50,3.26,2.62,2.74,3.29,2.57,2.70,2.61,2.64,2.57,2.66,2.50
j=19,3.81,3.87,3.85,4.00,3.63,3.85,3.97,3.80,3.69,3.90,3.69,3.60,3.68,3.62,3.75,3.64,3.63,3.68,3.70,3.86,3.74,3.80,3.72,3.78,3.70,3.62,3.62,3.77,3.65,3.70,3.69,3.80,3.75,3.72,3.58,3.62,3.69,3.86,3.63,3.65,4.30,3.77,3.63,3.71,3.72,3.68,3.68,3.79,3.67,3.71
j=20,5.72,5.70,5.70,5.88,5.62,5.51,5.88,5.70,5.75,5.72,5.68,5.69,5.74,6.00,5.75,6.02,5.71,5.60,5.75,5.70,5.75,5.66,5.74,5.81,5.91,5.63,5.83,5.79,5.64,5.69,5.83,6.05,6.30,5.91,6.03,5.92,5.65,5.75,5.75,5.74,5.80,6.13,5.70,5.67,5.64,5.94,5.95,5.81,5.90,5.97
j=21,10.23,9.65,9.66,10.04,9.76,9.78,9.65,9.59,9.75,9.61,9.71,9.67,9.92,9.58,9.51,9.95,9.59,9.51,9.61,9.75,9.57,9.53,9.66,9.72,9.52,9.54,9.61,9.63,9.63,9.55,9.70,9.51,9.64,9.58,9.57,9.74,9.59,9.89,9.58,9.65,9.65,9.71,9.55,9.59,10.29,9.53,9.52,9.60,9.49,9.67
j=22,16.92,17.44,17.23,17.22,16.89,17.12,17.16,16.97,17.05,16.94,16.98,17.01,17.01,17.06,17.20,17.10,17.10,16.93,17.19,17.27,17.30,16.95,18.58,17.09,16.82,17.80,19.70,16.84,16.81,16.68,16.75,16.89,16.82,16.65,17.03,16.95,17.31,16.74,16.93,16.82,16.70,16.88,17.49,16.88,16.89,16.76,16.86,16.80,16.78,16.86

i=14,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50
j=16,6.89,6.10,6.41,6.31,6.31,6.62,6.46,6.33,6.22,6.58,6.51,6.25,6.67,6.27,6.49,6.54,6.09,6.50,6.50,6.43,6.15,6.02,6.42,6.50,6.16,6.25,6.30,6.02,6.16,6.34,6.16,6.25,7.14,6.32,6.13,6.21,6.18,6.32,7.13,6.26,6.48,6.42,6.44,6.55,6.53,6.13,6.21,6.39,6.18,6.41
