i=10,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50
j=16,4.15,3.94,4.04,4.04,4.01,4.03,4.06,4.07,4.01,4.03,4.11,3.94,3.99,3.97,4.00,3.98,4.00,3.98,3.98,3.97,3.97,3.98,3.88,4.02,3.90,3.96,4.07,3.96,4.12,3.99,3.85,3.90,3.91,4.08,3.91,4.00,3.83,3.94,3.77,3.93,3.90,3.95,3.89,3.89,3.64,3.81,3.65,4.06,3.73,3.84
j=17,5.37,5.70,5.67,5.95,5.70,5.50,5.49,5.52,5.65,5.50,5.41,5.58,5.35,5.78,5.54,5.52,5.52,5.50,5.47,5.58,5.32,5.35,5.28,5.32,5.43,5.89,5.75,5.31,5.34,5.53,5.30,5.64,5.51,5.42,5.53,5.52,5.32,5.51,5.30,5.39,5.23,5.35,5.24,5.43,5.26,5.45,5.24,5.61,5.31,5.35
j=18,8.46,8.65,8.91,8.59,9.04,8.66,8.70,8.58,8.69,8.98,9.33,9.20,8.97,9.00,8.93,8.97,8.94,9.04,9.05,8.87,9.05,8.60,8.65,8.58,10.31,9.38,9.22,11.17,9.01,8.88,8.94,9.00,9.15,8.92,9.03,8.93,9.08,8.95,8.65,9.24,9.07,8.87,9.08,8.96,8.75,8.65,8.64,8.89,8.67,8.78

i=12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50
j=16,11.80,11.31,11.71,11.19,11.94,14.17,12.93,11.65,11.32,11.28,11.86,12.14,11.54,12.18,12.04,11.45,10.94,11.41,11.34,13.01,12.20,11.86,11.84,11.32,11.94,11.90,15.04,11.79,12.46,12.75,11.94,11.99,11.50,11.77,12.09,11.35,12.68,11.52,11.69,11.38,11.81,11.43,11.82,12.27,11.80,11.38,11.26,11.37,10.96,10.99
j=17,14.82,14.66,14.83,15.03,14.04,14.31,15.17,14.61,14.05,14.40,14.10,15.23,14.43,14.88,14.71,14.59,13.87,14.01,14.57,13.70,13.73,14.26,13.89,14.22,13.76,14.36,14.63,13.49,14.20,13.76,13.59,14.33,14.70,14.12,15.39,14.13,13.54,14.66,14.12,14.11,14.18,14.27,14.18,14.28,13.65,13.65,14.18,14.41,13.75,13.70
j=18,18.17,17.51,17.55,18.45,17.73,18.70,17.76,17.97,17.85,18.04,18.05,18.07,18.20,21.60,18.18,18.38,17.66,18.33,18.37,18.14,17.54,17.55,18.46,18.27,18.17,17.46,18.17,19.06,18.79,18.01,18.27,17.80,18.20,17.88,18.08,18.04,17.66,17.54,19.10,18.15,17.68,18.08,18.12,17.80,18.26,18.43,18.12,18.42,17.73,19.14
j=19,25.79,26.38,24.42,25.32,24.57,24.30,28.51,26.16,25.53,25.79,25.20,25.18,24.93,25.07,25.04,25.11,25.70,26.34,25.14,26.36,25.22,25.03,25.32,24.85,25.87,25.51,25.23,25.17,25.84,25.33,25.52,25.31,24.27,24.75,25.26,24.86,25.58,24.33,25.91,24.69,26.06,25.02,26.09,24.48,25.17,25.28,25.05,25.14,25.39,25.21
j=20,38.75,39.78,39.69,37.93,38.09,38.54,39.64,39.52,38.89,39.72,51.65,38.68,39.05,38.47,37.95,38.76,40.48,38.79,39.67,39.52,39.46,38.86,41.93,41.48,42.10,45.04,42.32,38.65,47.70,39.43,38.62,38.37,39.41,38.74,39.39,38.62,39.88,45.31,38.52,38.57,38.71,41.58,39.87,39.31,39.53,38.94,38.49,39.03,38.73,38.67
j=21,87.79,67.61,65.07,64.68,69.59,66.53,65.25,65.19,66.77,64.77,64.59,65.47,67.27,64.56,64.40,65.96,64.59,64.87,65.60,64.58,67.13,70.78,64.65,64.72,64.74,65.32,65.89,66.31,66.85,69.99,78.85,65.33,66.93,70.28,68.61,66.39,64.86,64.88,65.52,66.14,65.40,65.23,66.82,65.39,66.33,76.24,71.57,64.80,65.20,66.07
j=22,131.60,122.56,116.80,116.39,116.25,116.19,115.86,115.89,115.80,115.59,118.58,119.89,130.89,118.48,119.30,118.41,116.13,116.32,116.00,118.02,117.78,115.78,116.09,116.08,121.87,117.34,115.97,118.81,116.30,116.01,115.68,116.13,119.94,115.63,116.73,116.31,116.11,130.80,115.80,118.06,115.73,117.69,116.34,115.77,116.53,115.69,115.93,115.61,116.12,115.93

i=14,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50
j=16,42.40,44.01,42.87,42.46,43.00,42.28,43.09,45.42,42.55,42.98,42.99,42.08,43.33,42.20,42.76,40.98,42.32,42.65,42.59,42.55,42.61,42.66,42.86,42.94,42.81,43.26,43.98,42.54,42.60,42.58,43.52,44.16,44.34,42.99,42.63,42.93,42.44,42.75,42.92,42.80,43.33,42.65,43.41,43.00,42.71,42.91,43.21,42.78,43.15,43.14
j=17,48.34,48.01,48.23,48.34,48.68,48.71,48.44,48.11,48.12,47.85,48.36,48.31,48.21,47.91,48.25,48.18,48.33,48.95,47.94,49.12,48.75,49.69,48.92,48.88,49.13,49.22,48.91,49.19,48.76,48.71,49.15,48.95,48.47,48.89,48.87,49.02,48.62,48.90,49.18,49.25,48.82,48.87,49.17,49.48,49.34,49.08,48.65,49.23,48.84,49.02
