i=10,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50
j=16,4.16,4.13,4.21,4.17,4.14,4.17,4.11,4.17,4.16,4.15,4.09,4.15,4.16,4.14,4.09,4.15,4.12,4.12,4.09,4.16,4.08,4.13,3.95,4.17,4.10,4.14,4.12,4.16,4.08,4.16,3.96,3.99,4.12,4.14,4.11,4.00,3.95,3.98,3.96,3.98,4.16,3.86,4.10,3.87,3.84,3.86,3.83,3.87,3.84,3.85
j=17,6.81,7.34,7.31,7.15,7.31,7.06,7.03,7.06,7.28,7.08,6.97,6.87,6.79,10.78,7.04,7.06,6.81,6.85,7.05,7.12,6.93,6.82,6.83,6.86,6.70,7.25,7.32,6.85,6.83,6.85,6.97,7.31,6.80,7.87,7.07,7.09,6.80,7.12,6.80,6.87,6.83,6.84,6.84,6.84,6.82,6.79,6.85,7.07,6.80,6.62
j=18,13.08,12.93,13.60,12.98,13.30,13.20,13.08,13.17,13.14,13.69,13.96,13.93,13.62,13.70,13.59,13.75,13.58,13.98,13.64,13.67,14.04,13.34,13.12,13.18,13.82,14.02,14.13,15.85,13.89,13.59,13.57,13.64,14.41,13.66,14.25,13.81,14.09,13.29,13.16,13.45,13.61,13.72,13.84,13.76,13.25,13.22,12.75,13.65,13.16,13.23

i=12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50
j=16,7.22,6.88,7.13,6.79,7.18,6.88,7.04,7.19,6.88,6.83,7.19,7.20,6.94,7.22,6.92,6.86,6.68,6.62,6.59,6.61,7.56,7.14,6.81,6.85,7.05,7.33,6.88,7.09,7.64,6.90,7.15,7.17,6.95,7.14,7.71,6.83,28.59,7.03,6.92,6.81,7.11,6.92,7.12,6.90,7.06,6.89,6.73,6.79,6.60,6.58
j=17,11.26,11.09,11.61,10.28,10.52,10.84,10.84,10.92,10.61,11.13,10.49,10.63,10.62,11.00,11.13,11.16,10.44,10.61,10.78,10.23,11.13,10.58,10.16,10.62,10.22,11.21,11.39,10.15,10.63,10.14,9.77,10.65,11.35,10.66,10.15,10.40,10.19,11.08,10.61,10.83,10.61,10.42,10.53,10.55,10.21,10.16,10.58,10.69,10.23,10.16
j=18,17.26,16.58,16.66,16.73,16.76,17.76,16.67,17.24,16.59,16.65,16.70,17.27,17.30,17.23,17.66,16.65,16.59,17.38,17.65,17.27,16.67,16.60,16.67,17.17,17.25,16.60,17.24,17.59,17.98,16.77,17.59,16.62,16.63,16.57,17.14,16.59,16.64,16.83,16.72,16.80,16.78,16.66,16.66,16.64,17.27,17.51,16.77,17.38,16.61,16.60
j=19,30.07,29.16,29.41,30.01,28.99,28.91,30.25,30.26,29.97,29.51,28.95,30.19,28.87,28.91,28.91,29.88,30.43,30.07,30.04,30.37,29.64,29.91,30.46,29.34,30.04,30.29,30.73,29.93,29.47,30.31,29.91,30.25,29.48,29.00,29.94,29.96,38.27,28.90,29.25,29.10,30.39,28.97,29.49,28.90,29.91,28.95,29.88,29.27,30.68,30.00
j=20,55.47,55.33,55.74,53.39,54.44,55.08,55.98,55.84,55.76,54.09,54.01,55.20,55.53,54.95,54.16,55.10,57.39,55.15,55.40,55.09,55.35,55.42,58.51,78.36,60.17,56.39,60.64,54.95,60.80,56.95,55.66,55.05,55.83,55.24,55.70,54.97,55.85,66.38,55.18,56.44,55.37,57.05,61.57,56.52,56.01,55.16,55.22,55.75,55.49,55.11
j=21,105.05,106.48,109.51,104.99,109.21,106.94,105.21,104.95,106.55,104.92,104.85,105.43,106.23,105.29,104.76,105.60,104.98,105.32,105.07,105.06,110.76,106.65,106.78,104.99,105.13,105.29,116.00,132.28,110.96,142.26,111.08,105.25,108.20,109.31,111.25,109.17,105.33,105.20,105.97,105.08,105.18,105.50,105.66,105.00,106.09,131.85,112.45,105.29,105.38,106.28
j=22,214.73,207.26,205.27,204.18,204.41,207.63,205.48,204.88,204.70,204.38,207.43,209.68,204.82,243.31,209.70,205.65,204.84,204.54,204.88,205.64,207.55,204.80,212.75,204.63,212.68,209.92,204.72,206.01,204.40,204.15,204.47,208.31,206.88,204.22,205.59,206.02,205.13,215.37,205.19,206.08,204.32,206.85,204.06,204.50,204.75,204.75,204.47,205.02,204.17,204.36

i=14,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50
j=16,20.16,19.83,19.38,19.32,19.40,19.48,19.60,19.32,19.35,19.76,20.58,19.82,19.34,19.32,19.50,19.36,20.25,19.41,20.03,20.12,19.97,20.58,20.48,20.09,20.16,20.07,20.82,20.06,19.97,20.16,20.09,19.98,20.20,20.11,20.29,20.08,20.00,19.96,19.98,19.93,20.23,20.15,20.14,20.11,20.04,20.27,20.02,19.98,20.01,20.50
j=17,25.79,25.38,25.47,25.71,25.43,25.57,26.14,25.36,25.21,25.26,25.95,25.21,25.47,25.17,25.22,25.32,25.90,25.29,25.20,25.59,25.50,25.46,25.54,25.75,25.51,25.62,25.41,25.79,25.66,25.55,25.41,25.48,25.48,26.10,26.91,25.42,25.49,25.49,25.40,25.93,25.69,25.55,26.13,25.46,25.27,25.62,25.42,25.50,25.69,25.50
j=18,34.62,34.30,34.33,34.55,34.46,34.45,34.34,34.66,34.29,34.69,34.52,34.40,34.33,34.48,35.00,34.52,34.43,34.70,34.55,34.40,34.33,35.05,34.43,34.33,34.68,34.40,34.37,35.54,36.49,34.53,34.77,34.70,34.30,34.58,34.46,34.48,34.60,34.76,34.47,34.46,34.58,34.59,34.40,34.60,34.93,34.49,34.38,34.43,34.39,34.51
j=19,49.36,49.04,49.01,49.60,49.18,49.21,49.84,49.19,49.23,49.14,49.23,49.24,49.19,49.43,49.56,49.43,51.50,50.16,50.39,49.66,50.06,49.35,49.19,49.26,49.58,49.22,48.91,49.02,48.97,49.42,49.32,49.12,49.94,49.11,49.20,49.15,49.50,49.36,49.20,49.02,49.09,49.33,49.44,49.63,49.32,49.07,49.32,49.03,49.15,49.08
j=20,76.40,76.63,76.68,76.90,76.47,76.64,76.35,76.53,76.66,78.19,76.56,76.86,77.33,77.15,77.02,77.31,76.80,76.74,76.81,77.12,76.81,76.91,76.63,77.12,77.02,77.06,77.22,77.02,77.73,77.00,76.71,77.23,76.45,76.51,76.65,76.43,77.02,77.39,76.40,76.82,77.02,77.29,76.43,76.78,76.80,76.65,76.68,76.64,76.51,77.10
j=21,128.62,129.01,128.60,128.59,129.63,129.75,129.35,129.80,128.92,128.54,128.99,129.88,128.47,129.35,128.97,129.32,129.06,128.99,128.77,129.05,128.91,129.01,128.43,129.34,129.32,129.94,129.15,129.23,129.04,130.02,129.75,129.19,129.46,128.55,128.88,128.69,128.98,128.72,129.77,129.28,129.38,130.83,129.08,129.49,128.52,128.99,128.65,129.56,129.89,129.80
j=22,232.06,231.41,232.13,231.47,231.88,232.21,232.96,229.15,231.62,232.78,231.86,232.28,232.18,184.02,196.35,192.73,227.67,193.31,194.69,191.20,193.99,176.81,232.86,235.29,253.98,233.42,237.71,233.62,234.01,241.74,235.24,246.88,233.99,233.46,259.29,232.74,234.34,254.78,234.97,297.19,232.91,233.13,235.04,255.84,242.43,233.75,240.61,259.48,233.28,234.76

