i=10,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50
j=16,8.61,3.13,3.09,3.09,3.25,3.23,3.19,3.28,3.25,3.24,3.22,3.16,3.21,3.23,3.17,3.27,3.22,3.28,3.25,3.20,3.21,3.21,3.27,3.25,3.21,3.22,3.28,3.25,3.27,3.23,3.21,3.26,3.24,3.28,3.27,3.22,3.19,3.24,3.18,3.27,3.38,3.51,3.32,3.25,3.23,3.23,3.19,3.30,3.24,3.20
j=17,4.92,4.54,4.61,4.58,4.59,4.56,4.58,4.57,4.58,4.65,4.67,4.61,4.58,4.63,4.56,4.71,4.64,4.63,4.60,4.61,4.63,4.58,4.62,4.59,4.64,4.63,4.61,4.58,4.58,4.74,4.67,4.68,4.62,4.67,4.62,4.65,4.70,4.62,4.66,4.72,4.68,4.64,4.65,4.56,4.60,4.65,4.71,4.62,4.68,4.67
j=18,7.45,7.27,7.26,7.36,7.31,7.28,7.38,7.30,7.22,7.32,7.30,7.38,7.30,7.33,7.31,7.33,7.41,7.38,7.45,7.31,7.38,7.37,7.45,7.36,7.40,7.34,7.41,7.37,7.41,7.40,7.28,7.33,7.35,7.32,7.36,7.30,7.41,7.42,7.38,7.40,7.44,7.36,7.43,9.56,9.51,7.71,7.63,8.20,9.85,7.16

i=12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50
j=16,9.35,9.48,10.38,11.07,10.46,10.91,10.28,10.23,10.37,10.63,10.25,9.41,9.61,9.43,9.46,9.43,9.26,9.22,9.28,9.23,9.17,9.83,9.29,9.18,11.30,9.34,9.77,9.60,9.91,9.29,9.38,9.31,9.20,9.26,10.08,10.46,10.52,10.50,9.54,9.43,9.39,9.38,9.36,9.22,9.26,9.19,9.19,9.25,9.28,9.51
j=17,11.29,11.13,11.17,11.16,11.18,12.43,13.81,13.23,12.22,11.63,11.41,11.15,12.36,11.58,11.35,11.11,11.28,11.26,11.55,11.50,13.30,11.83,14.78,12.79,12.87,12.51,11.50,11.41,11.17,11.31,11.22,11.09,12.28,12.25,13.34,12.36,11.45,14.36,15.62,13.16,12.05,11.73,11.46,11.55,12.01,12.05,15.71,13.73,14.56,13.28
j=18,14.78,17.34,14.93,15.52,16.27,14.65,15.90,18.20,16.49,15.93,15.73,16.05,22.60,15.70,16.19,15.85,16.07,16.01,16.03,15.45,15.31,16.46,15.39,16.98,16.07,16.00,17.81,18.25,16.51,16.65,19.63,17.14,15.80,17.38,16.21,17.26,19.17,17.21,16.67,19.07,18.79,17.60,18.08,15.92,16.54,16.74,15.95,15.95,15.70,15.67
j=19,22.01,24.54,24.55,21.95,21.76,24.07,22.99,22.24,26.33,25.64,22.28,23.90,25.81,21.28,21.20,22.43,21.44,21.11,21.36,22.10,21.55,21.20,22.40,22.19,22.68,22.06,21.55,27.78,25.01,22.04,26.88,21.88,21.86,28.06,22.68,22.04,21.66,22.05,21.67,22.01,25.25,23.78,22.23,25.35,21.69,21.68,21.49,25.09,24.99,21.47
j=20,33.92,33.58,34.76,38.27,32.84,32.56,39.42,32.63,32.80,33.17,36.68,36.93,36.31,32.72,32.66,33.18,33.44,32.60,32.87,33.18,33.45,59.91,32.87,35.07,30.37,33.12,38.19,35.58,34.39,33.74,38.34,49.65,36.72,31.89,31.67,34.36,38.85,33.52,33.27,31.72,30.47,30.28,30.70,30.20,30.21,30.23,30.42,30.80,30.49,30.61
j=21,61.09,55.93,57.70,58.01,64.81,73.60,59.68,51.39,57.35,87.66,55.70,63.36,63.49,55.61,57.91,54.66,54.70,54.89,55.01,54.87,54.67,54.68,54.62,55.26,56.93,58.95,57.94,57.28,56.76,57.15,57.56,57.18,57.44,56.93,56.53,56.36,56.12,57.21,56.85,55.57,56.52,56.94,56.66,57.34,56.55,56.50,56.42,56.98,56.62,56.17
