i=10,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50
j=16,13.04,3.23,3.27,3.32,3.42,3.37,3.40,3.40,3.40,3.41,3.47,3.48,3.50,3.48,3.55,3.49,3.48,3.48,3.56,3.51,3.51,3.54,3.56,3.48,3.50,3.51,3.46,3.46,3.49,3.47,3.50,3.48,3.49,3.50,3.50,3.52,3.49,3.48,3.46,3.41,3.48,3.62,3.54,3.49,3.48,3.52,3.48,3.51,3.49,3.52
j=17,6.25,6.16,6.18,6.16,6.14,6.13,6.19,6.18,6.19,6.28,6.23,6.25,6.18,6.18,6.21,6.18,6.15,6.17,6.17,6.21,6.26,6.23,6.11,6.16,6.16,6.20,6.22,6.22,6.17,6.26,6.18,6.18,6.21,6.25,6.24,6.23,6.21,6.22,6.23,6.19,6.34,6.28,6.31,6.19,6.22,6.30,6.26,6.24,6.26,6.19
j=18,11.82,11.66,11.60,11.54,11.62,11.56,11.72,11.70,11.67,11.63,11.59,11.61,11.64,11.59,11.71,11.63,11.79,11.78,11.72,11.64,11.67,11.62,11.75,11.60,11.66,11.63,11.66,11.74,11.64,11.71,11.69,11.66,11.72,11.80,11.69,11.75,11.82,11.75,11.70,11.73,11.70,11.73,11.81,13.13,18.39,12.15,12.06,14.21,12.73,11.19

i=12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50
j=16,6.41,5.99,6.73,6.02,5.96,5.95,6.47,6.64,6.47,6.11,6.06,5.79,5.92,5.91,5.95,5.86,5.79,5.80,5.78,5.82,5.88,6.28,5.88,5.87,6.04,5.78,6.45,5.82,5.80,5.73,5.79,5.78,5.80,5.95,6.62,6.14,6.05,5.91,5.82,5.80,5.80,5.78,5.83,6.10,5.80,5.86,5.79,5.79,5.78,5.80
j=17,8.72,8.67,8.53,8.60,8.69,9.19,9.63,9.80,8.82,8.75,8.66,8.64,8.88,8.81,8.69,8.60,8.70,8.64,8.74,8.71,9.22,9.10,9.33,9.22,9.91,9.39,8.74,8.76,8.67,8.85,8.63,8.51,9.13,9.65,9.18,10.23,8.74,10.46,9.90,9.36,9.13,9.05,8.74,8.86,9.72,9.26,13.59,11.46,9.98,9.22
j=18,14.38,14.37,15.18,14.58,14.70,14.19,15.27,16.55,15.55,14.81,15.86,16.64,20.68,15.79,16.00,16.76,15.79,16.37,16.63,15.67,15.59,15.80,15.65,16.40,15.70,17.13,16.78,17.45,16.55,17.46,15.83,16.98,15.69,16.05,16.81,16.60,17.10,17.09,16.96,18.23,18.05,18.14,16.32,17.34,16.08,15.80,16.34,16.82,15.74,15.82
j=19,27.89,32.24,28.64,27.46,28.04,29.71,29.52,29.74,31.55,31.84,27.96,30.55,33.62,27.44,27.08,28.40,27.12,27.13,27.18,28.20,27.45,27.02,27.88,27.58,28.10,28.35,27.40,38.32,30.78,28.05,30.21,27.52,27.63,35.75,30.80,27.87,27.50,28.84,27.92,28.55,29.82,28.89,27.81,32.98,27.54,27.49,27.33,30.62,30.12,27.37
j=20,50.63,51.38,53.88,60.17,49.55,49.98,62.66,49.70,50.50,50.49,50.15,51.34,56.22,50.03,51.27,53.03,53.13,49.88,50.40,54.44,54.75,54.57,49.53,54.32,46.97,51.37,56.41,56.90,52.75,52.15,51.15,59.43,53.15,51.38,50.28,51.08,54.96,50.90,49.40,46.53,46.38,46.81,46.17,46.72,46.25,46.39,46.42,46.00,46.42,46.85
j=21,101.73,96.03,100.56,97.53,119.47,109.06,99.65,89.74,95.97,108.35,94.27,104.58,98.58,95.43,102.22,93.70,93.69,94.16,93.81,94.00,93.58,93.56,93.90,94.57,97.85,99.41,97.73,99.89,97.69,96.86,96.97,96.97,96.50,96.56,95.99,96.57,96.90,97.75,96.56,95.99,96.42,96.52,96.22,97.18,96.24,96.32,95.81,96.50,95.96,88.97
j=22,183.78,185.76,178.60,178.63,187.06,187.55,189.88,189.02,184.21,185.40,185.00,185.39,185.06,186.25,185.63,190.32,184.64,184.73,175.12,176.57,176.18,177.16,176.62,176.66,177.61,177.24,188.23,184.86,191.07,187.16,183.62,183.51,183.35,183.85,185.00,174.15,175.77,185.46,183.24,184.95,184.84,183.89,184.13,184.10,184.45,184.50,184.33,183.69,183.42,184.15

i=14,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50
j=16,18.25,18.90,19.11,19.00,19.02,19.14,19.50,19.06,19.37,19.33,19.62,19.42,19.21,19.18,19.48,19.29,19.18,19.16,20.66,19.08,19.30,19.24,19.67,19.26,19.37,19.28,19.37,22.61,19.64,19.73,19.65,19.34,19.18,19.27,19.38,19.38,19.16,19.17,19.32,19.36,19.50,19.40,19.04,18.84,19.18,19.09,19.18,19.02,19.35,20.23
j=17,23.07,22.44,22.39,22.06,21.95,22.04,22.02,22.00,22.14,23.77,22.13,22.30,22.49,22.96,22.43,22.45,22.18,22.26,22.21,22.05,22.19,22.21,22.51,22.49,22.34,22.34,22.28,22.20,22.36,22.50,22.28,22.01,22.34,22.75,22.80,22.35,22.09,22.07,22.50,22.27,22.26,22.12,22.30,22.52,22.41,22.46,22.47,22.72,22.15,22.54
j=18,29.76,30.04,29.84,29.98,29.78,29.85,30.16,29.41,31.11,27.32,27.92,27.95,27.97,27.84,27.86,27.85,28.17,27.93,28.08,27.85,27.99,28.24,33.28,28.08,27.83,27.88,27.71,27.96,28.04,28.17,28.07,27.89,27.98,27.84,28.00,28.04,27.77,27.95,28.18,27.79,28.14,28.20,27.77,28.11,28.23,28.27,27.97,27.80,27.98,28.27
j=19,42.03,40.52,40.35,40.27,45.33,40.47,40.39,40.16,40.99,40.64,40.37,40.33,40.38,40.94,40.21,41.39,40.74,40.40,40.40,40.31,40.71,40.43,40.89,40.50,40.57,40.47,40.48,40.23,40.68,40.34,40.12,40.40,40.39,40.54,41.94,40.58,40.63,40.64,40.53,40.76,40.64,40.60,40.97,40.64,40.51,40.59,40.88,40.87,40.68,40.63
